acao,cnpj,setor,subsetor,segmento
pfrm3,45.453.214/0001-51,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
pgmn3,06.626.253/0001-51,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
pine3,62.144.175/0001-20,Financeiro e Outros,Intermediários Financeiros,Bancos
pine4,62.144.175/0001-20,Financeiro e Outros,Intermediários Financeiros,Bancos
plas3,51.928.174/0001-50,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
plpl3,24.230.275/0001-80,Consumo Cíclico,Construção Civil,Incorporações
pmam3,60.398.369/0004-79,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre
pnvl3,92.665.611/0001-77,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
pnvl4,92.665.611/0001-77,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
pomo3,88.611.835/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário
pomo4,88.611.835/0001-29,Bens Industriais,Material de Transporte,Material Rodoviário
port3,33.130.691/0001-05,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
posi3,81.243.735/0001-48,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
powe3,26.735.020/0001-02,Utilidade Pública,Energia Elétrica,Energia Elétrica
ppar3,59.789.545/0001-71,Financeiro e Outros,Outros,Outros
ppla11,15.073.274/0001-88,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
prio3,10.629.105/0001-68,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
prnr3,18.593.815/0001-97,Bens Industriais,Serviços,Serviços Diversos
pssa3,02.149.205/0001-69,Financeiro e Outros,Previdência e Seguros,Seguradoras
ptbl3,83.475.913/0001-91,Bens Industriais,Construção e Engenharia,Produtos para Construção
ptca11,08.574.411/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ptca3,08.574.411/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ptnt3,88.613.658/0001-10,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
ptnt4,88.613.658/0001-10,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
qual3,11.992.680/0001-93,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
qusw3,35.791.391/0001-94,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
qvqp3b,01.851.771/0001-55,Financeiro e Outros,Outros,Outros
